Pub, Keyword, Activities
Tumblr,4Runner,498.000000
Tumblr,Camry,11634.000000
Tumblr,Highlander,11702.000000
Tumblr,Lexus,206565.000000
Tumblr,Prius,8485.000000
Tumblr,Rav4,905.000000
Tumblr,Scion,13883.000000
Tumblr,Sequoia,38663.000000
Tumblr,Tacoma,28983.000000
Tumblr,Toyota,37573.000000
Tumblr,Tundra,60942.000000
Tumblr,Total,515164.000000
WPCom,4Runner,469.000000
WPCom,Camry,1756.000000
WPCom,Highlander,1507.000000
WPCom,Lexus,4204.000000
WPCom,Prius,1802.000000
WPCom,Rav4,916.000000
WPCom,Scion,3265.000000
WPCom,Sequoia,1118.000000
WPCom,Tacoma,2260.000000
WPCom,Toyota,14344.000000
WPCom,Tundra,2986.000000
WPCom,Total,30110.000000
WPComCom,4Runner,8.000000
WPComCom,Camry,108.000000
WPComCom,Highlander,297.000000
WPComCom,Lexus,447.000000
WPComCom,Prius,199.000000
WPComCom,Rav4,32.000000
WPComCom,Scion,787.000000
WPComCom,Sequoia,238.000000
WPComCom,Tacoma,275.000000
WPComCom,Toyota,1202.000000
WPComCom,Tundra,281.000000
WPComCom,Total,6467.000000
WPOrg,4Runner,356.000000
WPOrg,Camry,1699.000000
WPOrg,Highlander,1451.000000
WPOrg,Lexus,3830.000000
WPOrg,Prius,1989.000000
WPOrg,Rav4,817.000000
WPOrg,Scion,3054.000000
WPOrg,Sequoia,1060.000000
WPOrg,Tacoma,2240.000000
WPOrg,Toyota,14099.000000
WPOrg,Tundra,2053.000000
WPOrg,Total,24014.000000
WPOrgCom,4Runner,650.000000
WPOrgCom,Camry,812.000000
WPOrgCom,Highlander,544.000000
WPOrgCom,Lexus,6783.000000
WPOrgCom,Prius,1051.000000
WPOrgCom,Rav4,167.000000
WPOrgCom,Scion,3291.000000
WPOrgCom,Sequoia,616.000000
WPOrgCom,Tacoma,4481.000000
WPOrgCom,Toyota,12542.000000
WPOrgCom,Tundra,324.000000
WPOrgCom,Total,37974.000000
twitter,4Runner,8059.000000
twitter,Camry,60442.000000
twitter,Highlander,27296.000000
twitter,Lexus,205477.000000
twitter,Prius,108583.000000
twitter,Rav4,9080.000000
twitter,Scion,37140.000000
twitter,Sequoia,24203.000000
twitter,Tacoma,62066.000000
twitter,Toyota,495957.000000
twitter,Tundra,37852.000000
twitter,Total,979733.000000
